소재지(시군구)별(1),소재지(시군구)별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
소재지(시군구)별(1),소재지(시군구)별(2),주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역
소재지(시군구)별(1),소재지(시군구)별(2),소계,전용주거_계,전용주거_1종,전용주거_2종,일반주거지역_계,일반주거지역_1종,일반주거지역_2종,일반주거지역_3종,준주거지역,소계,중심상업,일반상업,근린상업,유통상업,소계,전용공업,일반공업,준공업,보전녹지,자연녹지,생산녹지
인천광역시,계양구,9370264,0,0,0,8839442,1333219,4219306,3286917,530822,644263,0,644263,0,0,1409498,0,451471,958027,2960953,31164850,0
인천광역시,서구,26364254,889297,476886,412411,23758226,4754353,7586356,11417517,1716731,4323494,997633,1636074,655640,1034147,19205411,0,16287558,2917853,8230033,51634230,1562634
인천광역시,강화군,1949300,0,0,0,1914300,976245,938055,0,35000,201300,0,201300,0,0,538115,0,446738,91377,0,11595915,2962985
인천광역시,옹진군,9155,0,0,0,9155,9155,0,0,0,0,0,0,0,0,3571000,3571000,0,0,0,0,0
경기도,소계,571032059,11451048,8454777,2996271,516766799,181189381,182821293,152756125,42814212,62690600,9767826,44045414,3404208,5473152,134320648,179565,113262007,20879076,200367064,2248755628,154634166
경기도,수원시,44745882,128886,128886,0,42138318,12097867,20438636,9601815,2478678,6215363,1388231,4539108,288024,0,4113113,0,4006670,106443,1083333,58439793,6584546
경기도,성남시,30260362,1030231,764914,265317,26036565,6096384,7761142,12179039,3193566,5150734,1956461,2205673,988600,0,1744307,0,1412092,332215,34218328,70348085,0
경기도,고양시,38110984,572361,572361,0,34992175,11506832,12065203,11420140,2546448,5832329,992818,4732628,106883,0,0,0,0,0,0,149477399,0
경기도,용인시,37360213,428262,130133,298129,34931933,7352262,11856650,15723021,2000018,3930865,944692,2316459,197210,472504,4600983,0,4266333,334650,73555156,256357050,12492344
경기도,부천시,23485156,130461,128525,1936,22443255,2975082,13173270,6294903,911440,3418980,471940,2411582,200126,335332,4542101,0,3012457,1529644,0,21890016,113747
경기도,안산시,23068079,127238,47738,79500,21869015,5864193,12717650,3287172,1071826,2875766,417196,2370336,88234,0,16698232,0,15790374,907858,16992639,84259114,7578509
경기도,안양시,15148040,142118,141874,244,14356984,4272035,4827133,5257816,648938,2211453,657532,1553921,0,0,3229625,0,2362880,866745,246956,37643980,0
경기도,남양주시,39544876,648921,539684,109237,36497316,21257233,5482542,9757541,2398639,1543338,0,1504523,33510,5305,565538,0,448575,116963,2453192,198149562,166508
경기도,화성시,52937328,3593506,2503178,1090328,43626569,11750262,13813762,18062545,5717253,6038554,1310302,3591117,85756,1051379,15347028,0,14153021,1194007,6967265,209619030,23986767
경기도,평택시,40808347,152573,1911,150662,35364301,15354484,11068668,8941149,5291473,6128245,362160,3363227,466000,1936858,30283971,0,23023195,7260776,4071470,59249393,10511410
경기도,의정부시,16065135,107884,107692,192,15644625,3058549,7664276,4921800,312626,1679106,0,1494058,0,185048,368210,0,0,368210,5245,63480684,0
경기도,시흥시,22753739,265638,123388,142250,19553527,7194021,7712162,4647344,2934574,1870455,340203,1530252,0,0,12058956,0,9742875,2316081,105010,98268702,0
경기도,파주시,21893308,344308,295334,48974,19601936,6228128,4711560,8662248,1947064,2220010,301844,1836817,81349,0,8213391,0,6753342,1460049,0,43184076,5369856
경기도,광명시,9353658,150440,70786,79654,8916193,2097773,4663359,2155061,287025,1521762,0,1405826,95397,20539,746675,0,372310,374365,0,26884378,0
경기도,김포시,19006357,948207,701984,246223,16209193,6525160,4263632,5420401,1848957,1994304,0,1094930,140176,759198,4582734,0,4123896,458838,14894496,45918439,15536787
경기도,군포시,8271406,0,0,0,7846407,798738,3386355,3661314,424999,679866,119745,540061,20060,0,2597916,0,2400148,197768,55308,24855732,0
경기도,광주시,11192712,0,0,0,10764727,6232704,3684855,847168,427985,394675,0,304806,0,89869,437361,0,437361,0,5367192,152689448,1328099
