시도명,행정구역별(읍면동),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019
서울,행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
경기,수원시,1214986,614493,600493,1158800,584662,574138,56186,29831,26355,479379,457351,236,21792,371665,32583,271865,8617,56042,2558,20354
경기,성남시,919895,455369,464526,893188,441870,451318,26707,13499,13208,371437,361413,120,9904,257377,33268,178415,10754,33335,1605,30439
경기,의정부시,440357,216737,223620,433491,213519,219972,6866,3218,3648,172232,170040,117,2075,150397,12824,112432,2882,21159,1100,4950
경기,안양시,557339,275659,281680,546191,270130,276061,11148,5529,5619,209927,205695,87,4145,178130,9588,130792,3349,33166,1235,9975
경기,부천시,836751,415264,421487,801074,397134,403940,35677,18130,17547,324811,311910,199,12702,267622,17419,151839,7381,88301,2682,20243
경기,광명시,313462,154896,158566,304507,150471,154036,8955,4425,4530,118926,115414,36,3476,103740,5604,72433,1627,23502,574,4952
경기,평택시,521172,271966,249206,487635,252234,235401,33537,19732,13805,208466,197997,204,10265,210018,33237,138240,7393,29087,2061,6493
경기,동두천시,96541,48387,48154,91940,45802,46138,4601,2585,2016,38390,37297,60,1033,37452,6557,21511,2547,6451,386,1017
경기,안산시,714650,370739,343911,635294,325047,310247,79356,45692,33664,283124,253140,307,29677,207974,15746,104870,9166,76800,1392,11565
경기,고양시,1024645,501941,522704,1005549,491852,513697,19096,10089,9007,390836,385021,220,5595,327782,21053,257821,11267,35987,1654,33730
경기,과천시,53830,26584,27246,53413,26355,27058,417,229,188,19023,18901,11,111,13008,1712,9063,276,1858,99,463
경기,구리시,192270,95221,97049,190207,94208,95999,2063,1013,1050,72624,71974,26,624,58998,5135,45600,2311,5480,472,1722
경기,남양주시,681077,339886,341191,670201,333319,336882,10876,6567,4309,246337,243802,192,2343,233886,16869,178468,11370,25625,1554,6937
경기,오산시,233998,120893,113105,218910,112986,105924,15088,7907,7181,93117,87151,64,5902,81342,5233,65992,1561,7996,560,2356
경기,시흥시,508749,269625,239124,458466,239821,218645,50283,29804,20479,198515,178734,151,19630,164258,7331,129151,1642,24821,1313,11537
경기,군포시,275154,136614,138540,264719,131183,133536,10435,5431,5004,104573,100586,66,3921,90977,3579,73838,1197,11891,472,3667
경기,의왕시,155826,77677,78149,154005,76719,77286,1821,958,863,57588,57061,33,494,52452,2731,40119,715,8639,248,1495
경기,하남시,260544,130979,129565,256981,128909,128072,3563,2070,1493,102261,101231,28,1002,79750,6213,69856,1137,1920,624,10461
경기,용인시,1052529,525139,527390,1024132,508761,515371,28397,16378,12019,379061,371752,306,7003,344619,29652,270018,11098,32108,1743,13382
경기,파주시,454328,233834,220494,437840,222198,215642,16488,11636,4852,167957,164306,194,3457,152606,26287,106461,3757,14780,1321,7346
경기,이천시,222995,115769,107226,211978,109094,102884,11017,6675,4342,83144,80367,120,2657,75940,22103,38599,3344,10701,1193,3724
경기,안성시,202284,105953,96331,184506,94517,89989,17778,11436,6342,79302,74066,185,5051,74462,21480,44928,2685,4479,890,3614
경기,김포시,442910,229269,213641,414839,207712,207127,28071,21557,6514,162871,156040,113,6718,146321,13184,119238,4593,8392,914,9604
경기,화성시,838635,444058,394577,781512,403808,377704,57123,40250,16873,312599,298397,410,13792,285879,32425,230138,4406,16960,1950,21378
경기,광주시,375238,194288,180950,356432,181623,174809,18806,12665,6141,141279,136730,110,4439,125545,16186,48202,3916,56182,1059,4526
경기,양주시,224684,115541,109143,213908,107708,106200,10776,7833,2943,83851,81582,145,2124,79875,10815,59763,1322,7018,957,3368
경기,포천시,159871,87476,72395,140938,73405,67533,18933,14071,4862,62275,58273,143,3859,54168,21179,19731,2609,9521,1128,5512
경기,여주시,111981,57249,54732,106631,53999,52632,5350,3250,2100,44009,42903,103,1003,41059,20239,14182,1418,4287,933,2036
경기,연천군,42540,22578,19962,41111,21565,19546,1429,1013,416,18043,17681,29,333,16111,8863,4536,1201,1107,404,880
경기,가평군,59823,30360,29463,58294,29676,28618,1529,684,845,25361,24950,54,357,25995,14613,5306,1912,3339,825,1205
경기,양평군,111836,56004,55832,109413,54907,54506,2423,1097,1326,46539,45895,82,562,45368,30519,7851,1437,4679,882,1745
