인천,부평구,총인구수 (명),511577,16555,20032,20903,25467,34188,39353,33586,38944,36948,44037,46089,47276,38650,23386,17329,13315,9017,4310,1576,428,188
인천,계양구,총인구수 (명),303471,8847,11706,12531,16167,22124,23956,18628,21210,21100,26986,30290,31941,22942,12076,8430,6591,4616,2272,805,192,61
인천,서구,총인구수 (명),544556,23841,29463,27899,30009,35239,38167,35799,47301,45946,50281,48032,45040,33848,19163,13472,9703,6498,3228,1246,285,96
인천,강화군,총인구수 (명),69178,1416,1916,2249,2538,2860,2750,2382,3125,3428,4554,5356,7010,7692,5702,5313,4684,3545,1853,607,159,39
인천,옹진군,총인구수 (명),20566,478,546,515,660,1402,1348,981,1051,1167,1338,1563,2179,2213,1504,1315,956,703,406,173,60,8
경기,경기도,총인구수 (명),13239666,525180,659810,643213,712249,854474,916221,847913,1077914,1074539,1215659,1131608,1067220,862325,537047,411432,325840,220092,105248,38207,9561,3914
경기,수원시,총인구수 (명),1194465,46728,57577,56983,66907,87558,99053,85427,99691,97379,108594,102598,93332,68991,41459,30847,23747,15905,7776,2904,723,286
경기,성남시,총인구수 (명),942724,31551,40454,41827,49432,60804,71583,65460,74108,73342,86968,79762,76646,64980,41534,32051,24276,15817,7773,3100,821,435
경기,의정부시,총인구수 (명),451868,15621,19652,19749,24106,30858,31654,26252,33521,33255,41375,40193,38580,31780,20309,16573,13642,8896,3936,1395,318,203
경기,안양시,총인구수 (명),567044,19477,23290,24967,30805,39108,42252,38365,42297,41181,50782,50639,50589,41649,25085,17512,13234,9087,4587,1598,373,167
경기,부천시,총인구수 (명),829996,27982,34016,33812,40745,56208,63539,55941,65285,61262,71709,73406,77591,64411,37711,25694,18804,12468,6287,2335,564,226
경기,광명시,총인구수 (명),316552,11091,14633,15368,17695,19999,20951,20060,25167,25591,29419,26989,25584,22608,14520,10351,7827,4998,2487,845,229,140
경기,평택시,총인구수 (명),513027,21872,26371,25481,27597,32666,36272,34174,42629,42697,47398,43594,39868,30498,19119,14903,12647,9097,4066,1454,400,224
경기,동두천시,총인구수 (명),94768,2827,4095,4203,4802,5701,5500,4605,6028,6643,8296,8171,8146,7407,4938,4532,4192,2852,1185,460,105,80
경기,안산시,총인구수 (명),650918,20361,26078,29034,39098,51902,53217,40411,45451,48159,63128,66196,59943,41502,22192,15732,12787,9248,4416,1584,374,105
경기,고양시,총인구수 (명),1066351,37041,47772,49239,59761,73457,76223,64240,77377,81408,104112,98952,92171,69326,39657,31976,28293,20717,10013,3495,812,309
경기,과천시,총인구수 (명),58289,1933,2574,2870,3496,4046,3977,3701,4105,3909,5300,5280,4998,4016,2482,1888,1569,1133,607,279,77,49
경기,구리시,총인구수 (명),199265,7305,9040,8703,10413,13575,13930,11862,15716,15420,18183,18228,17677,14054,8529,6378,5021,3125,1430,457,147,72
경기,남양주시,총인구수 (명),701830,28310,39267,38366,39459,43026,39702,36237,56019,61268,67600,59185,54574,45810,30534,24055,18807,11723,5287,1910,482,209
경기,오산시,총인구수 (명),226379,11077,14186,12667,12315,14010,16411,16858,23245,21423,20590,17359,14852,11129,6807,5179,4110,2592,1089,347,86,47
경기,시흥시,총인구수 (명),473682,21573,25227,23847,26111,32392,33635,31515,42309,41132,45266,44439,38595,26238,14031,10017,8010,5521,2580,940,215,89
