기간	자치구	동	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자	가구수	계	남자	여자
2020	용산구	이태원2동	4,739	9,780	4,629	5,151	4,144	8,223	3,792	4,431	X	20	14	6	X	X	X	X	593	1,068	521	547
2020	용산구	서빙고동	4,858	12,672	6,110	6,562	4,701	11,936	5,699	6,237	X	X	X	X	X	X	X	X	157	339	163	176
2020	용산구	보광동	7,216	14,966	7,805	7,161	6,643	12,935	6,398	6,537	X	33	27	6	X	221	180	41	566	1,312	857	455
2020	용산구	청파동	10,177	19,822	8,764	11,058	9,829	18,288	8,308	9,980	7	64	9	55	X	535	X	534	337	597	241	356
2020	용산구	원효로1동	7,109	15,443	7,386	8,057	6,919	14,677	6,902	7,775	X	41	24	17	X	159	136	23	183	328	162	166
2020	용산구	한강로동	9,321	19,821	9,573	10,248	8,785	17,837	8,430	9,407	7	50	20	30	X	94	68	26	527	1,078	573	505
2020	용산구	한남동	10,333	21,524	10,546	10,978	9,435	18,841	8,995	9,846	X	19	8	11	X	45	38	7	893	1,623	925	698
2020	성동구	소계	126,658	291,918	142,128	149,790	122,186	277,120	133,829	143,291	48	383	174	209	21	3,054	1,646	1,408	4,403	7,015	3,218	3,797
2020	성동구	왕십리2동	7,154	16,744	8,092	8,652	6,925	16,086	7,714	8,372	X	15	5	10	X	54	37	17	226	371	169	202
2020	성동구	마장동	10,116	22,666	11,103	11,563	9,719	21,645	10,543	11,102	X	22	13	9	X	39	23	16	393	597	258	339
2020	성동구	사근동	8,081	15,030	7,709	7,321	7,150	11,562	5,866	5,696	19	149	65	84	6	1,555	970	585	906	1,199	449	750
2020	성동구	행당1동	5,946	13,782	6,638	7,144	5,748	13,250	6,327	6,923	X	11	5	6	X	X	X	X	197	278	129	149
2020	성동구	행당2동	8,788	23,064	10,803	12,261	8,747	22,771	10,570	12,201	X	X	X	X	X	X	X	X	41	72	36	36
2020	성동구	응봉동	5,514	14,949	7,091	7,858	5,497	14,783	6,950	7,833	X	X	X	X	X	X	X	X	17	21	10	11
2020	성동구	금호1가동	6,074	15,058	7,208	7,850	6,045	14,848	7,057	7,791	X	X	X	X	X	X	X	X	29	47	22	25
2020	성동구	금호4가동	5,916	14,190	6,766	7,424	5,812	13,784	6,547	7,237	X	7	X	6	X	44	5	39	102	176	87	89
2020	성동구	성수1가1동	7,135	16,186	8,093	8,093	6,937	15,630	7,706	7,924	X	6	6	X	X	X	X	X	197	323	182	141
2020	성동구	성수1가2동	6,326	13,564	6,645	6,919	6,102	13,008	6,317	6,691	X	19	5	14	X	X	X	X	222	352	174	178
2020	성동구	성수2가1동	7,840	16,727	8,661	8,066	7,425	15,750	8,138	7,612	6	48	26	22	X	X	X	X	409	712	343	369
2020	성동구	성수2가3동	5,089	11,235	5,671	5,564	4,888	10,266	5,148	5,118	8	57	25	32	X	425	176	249	189	291	161	130
2020	성동구	송정동	5,381	11,009	5,776	5,233	5,057	10,273	5,352	4,921	X	X	X	X	X	X	X	X	324	570	299	271
2020	성동구	용답동	6,493	12,999	6,658	6,341	5,876	10,957	5,571	5,386	X	26	13	13	X	515	331	184	611	1,136	504	632
2020	성동구	왕십리도선동	11,312	26,884	12,672	14,212	10,999	25,638	12,094	13,544	X	14	10	X	X	399	103	296	308	481	214	267
2020	성동구	금호2.3가동	9,296	22,458	10,689	11,769	9,185	22,038	10,411	11,627	X	9	X	9	X	X	X	X	110	174	79	95
2020	성동구	옥수동	10,197	25,373	11,853	13,520	10,074	24,831	11,518	13,313	X	X	X	X	X	23	X	22	122	215	102	113
2020	광진구	소계	160,944	353,967	169,925	184,042	152,090	328,366	156,900	171,466	55	476	231	245	23	4,096	1,771	2,325	8,776	15,249	6,923	8,326
2020	광진구	화양동	18,354	28,124	12,975	15,149	16,621	22,860	10,718	12,142	20	158	74	84	X	1,748	776	972	1,711	2,421	900	1,521
2020	광진구	군자동	11,316	22,308	10,891	11,417	10,235	18,967	9,290	9,677	6	48	29	19	X	610	259	351	1,072	1,935	927	1,008
2020	광진구	중곡1동	7,639	15,493	7,516	7,977	7,345	14,782	7,127	7,655	X	X	X	X	X	18	17	X	293	463	208	255
2020	광진구	중곡2동	9,857	21,513	10,144	11,369	9,615	20,788	9,734	11,054	X	8	X	7	X	51	13	38	239	403	186	217
2020	광진구	중곡3동	7,733	16,289	8,037	8,252	7,555	15,773	7,734	8,039	X	X	X	X	X	18	18	X	177	292	132	160
2020	광진구	중곡4동	12,111	28,612	13,973	14,639	11,930	27,820	13,512	14,308	6	43	17	26	X	16	X	15	174	364	165	199
2020	광진구	능동	6,233	11,501	5,292	6,209	6,044	11,056	5,034	6,022	X	12	X	9	X	X	X	X	187	297	149	148
2020	광진구	구의1동	11,495	22,228	10,547	11,681	11,002	20,943	9,870	11,073	X	43	24	19	X	74	18	56	488	885	408	477
2020	광진구	구의2동	10,688	26,536	12,653	13,883	10,455	25,439	12,100	13,339	X	30	15	15	X	222	33	189	226	445	202	243
2020	광진구	구의3동	11,324	28,130	13,329	14,801	11,111	27,400	12,848	14,552	X	7	X	6	X	14	X	10	211	365	179	186
2020	광진구	광장동	11,235	34,206	16,606	17,600	11,150	33,199	15,933	17,266	X	20	15	5	X	463	255	208	80	149	69	80
2020	광진구	자양1동	11,202	23,199	11,109	12,090	10,495	21,585	10,261	11,324	5	50	21	29	X	29	24	5	701	1,241	577	664
2020	광진구	자양2동	10,443	25,349	12,359	12,990	10,163	24,294	11,732	12,562	X	X	X	X	X	253	125	128	279	502	243	259
2020	광진구	자양3동	10,228	27,806	13,363	14,443	10,044	26,677	12,757	13,920	X	8	8	X	X	532	217	315	182	299	136	163
2020	광진구	자양4동	11,086	22,673	11,131	11,542	8,325	16,783	8,250	8,533	X	49	23	26	X	48	11	37	2,756	5,188	2,442	2,746
2020	동대문구	소계	158,899	351,057	171,484	179,573	150,373	325,598	158,810	166,788	97	863	473	390	34	4,789	2,241	2,548	8,395	12,832	5,336	7,496
2020	동대문구	회기동	7,546	14,028	6,443	7,585	6,328	10,576	4,933	5,643	14	130	56	74	X	819	409	410	1,203	1,735	631	1,104
2020	동대문구	휘경1동	7,790	15,367	7,274	8,093	6,643	13,057	6,247	6,810	12	95	43	52	X	83	54	29	1,133	1,506	572	934
2020	동대문구	휘경2동	11,366	24,715	12,114	12,601	10,915	23,361	11,488	11,873	X	53	34	19	X	202	52	150	446	676	263	413
2020	동대문구	청량리동	9,024	19,906	9,886	10,020	8,652	18,738	9,197	9,541	X	27	24	X	X	198	145	53	368	650	306	344
2020	동대문구	용신동	16,617	31,644	15,828	15,816	15,702	28,792	14,314	14,478	16	160	113	47	7	663	311	352	892	1,516	741	775
2020	동대문구	제기동	12,973	26,289	13,122	13,167	11,662	23,225	11,709	11,516	10	85	38	47	X	176	77	99	1,300	1,975	791	1,184
2020	동대문구	전농1동	13,906	29,807	14,873	14,934	13,584	28,656	14,120	14,536	12	91	57	34	X	146	142	X	308	490	218	272
2020	동대문구	전농2동	7,218	19,345	9,292	10,053	7,163	18,334	8,747	9,587	X	29	X	28	X	599	279	320	51	88	40	48
2020	동대문구	답십리2동	11,937	28,537	13,874	14,663	11,756	27,967	13,472	14,495	X	9	X	9	X	X	X	X	180	287	157	130
2020	동대문구	장안1동	16,251	37,534	18,496	19,038	15,931	36,527	17,876	18,651	X	25	19	6	X	X	X	X	316	513	232	281
2020	동대문구	장안2동	12,547	32,565	16,106	16,459	12,363	31,134	15,369	15,765	X	25	16	9	8	756	299	457	173	276	121	155
2020	동대문구	이문1동	11,500	22,243	10,504	11,739	9,934	17,945	8,698	9,247	13	119	65	54	8	832	314	518	1,545	2,296	876	1,420
2020	동대문구	이문2동	8,441	20,710	9,979	10,731	8,173	19,773	9,465	10,308	X	7	X	X	X	125	44	81	266	452	219	233
2020	동대문구	답십리1동	11,783	28,367	13,693	14,674	11,567	27,513	13,175	14,338	X	8	X	X	X	190	115	75	214	372	169	203
2020	중랑구	소계	167,617	385,663	189,537	196,126	164,832	374,271	182,856	191,415	28	224	116	108	21	1,458	554	904	2,736	4,834	2,223	2,611
2020	중랑구	면목2동	10,897	24,256	11,997	12,259	10,689	23,549	11,585	11,964	X	6	5	X	X	34	X	33	206	330	152	178
2020	중랑구	면목4동	8,017	18,498	9,197	9,301	7,843	17,713	8,671	9,042	X	17	14	X	X	106	102	X	171	315	142	173
2020	중랑구	면목5동	5,764	14,042	7,032	7,010	5,707	13,802	6,877	6,925	X	X	X	X	X	X	X	X	57	93	41	52
2020	중랑구	면목7동	9,666	21,748	10,850	10,898	9,479	21,097	10,461	10,636	X	X	X	X	X	X	X	X	187	354	169	185
2020	중랑구	상봉1동	9,498	24,177	11,788	12,389	9,424	23,710	11,454	12,256	X	8	X	6	X	39	21	18	71	133	57	76
2020	중랑구	상봉2동	10,496	19,511	9,421	10,090	10,267	18,774	9,024	9,750	5	40	16	24	X	146	88	58	223	375	165	210
2020	중랑구	중화1동	8,196	19,653	9,609	10,044	8,117	19,278	9,344	9,934	X	12	X	10	X	X	X	X	77	137	69	68
2020	중랑구	중화2동	12,539	25,395	12,863	12,532	12,182	24,309	12,245	12,064	X	X	X	X	X	123	63	60	356	601	284	317
2020	중랑구	묵1동	13,647	34,195	16,568	17,627	13,560	33,664	16,197	17,467	X	13	X	12	X	31	22	9	84	140	56	84
2020	중랑구	묵2동	8,500	19,057	9,282	9,775	8,356	18,525	8,984	9,541	X	X	X	X	X	67	16	51	143	234	106	128
2020	중랑구	망우3동	7,539	16,997	8,455	8,542	7,359	16,162	8,003	8,159	X	7	X	7	X	184	83	101	175	343	162	181
